data_type,algo,train.val,auc
MET,avg,1,0.5609183844477963
MET,avg,0,0.5301818181818182
CLN_MTB_PRT_MIR_MET,avg,1,0.7813809284397519
CLN_MTB_PRT_MIR_MET,avg,0,0.8081818181818182
CLN_MTB_PRT,lr,1,0.7847326964974023
CLN_MTB_PRT,lr,0,0.7752727272727273
PRT,lr,1,0.6387631975867271
PRT,lr,0,0.6434545454545455
CLN_MTB_PRT_MET,lr,1,0.7806267806267806
CLN_MTB_PRT_MET,lr,0,0.7701818181818181
CLN_MTB,lr,1,0.7987263281380929
CLN_MTB,lr,0,0.7668181818181817
CLN_PRT_MET,lr,1,0.7743422155186861
CLN_PRT_MET,lr,0,0.754090909090909
CLN_MET,lr,1,0.7762694821518351
CLN_MET,lr,0,0.7522727272727273
CLN,lr,1,0.7770236299648065
CLN,lr,0,0.752090909090909
CLN_PRT_MIR_MET,lr,1,0.7759343053460701
CLN_PRT_MIR_MET,lr,0,0.7579999999999999
CLN_PRT,lr,1,0.7752639517345401
CLN_PRT,lr,0,0.7567272727272726
MTB,lr,1,0.7547343723814312
MTB,lr,0,0.7651818181818181
CLN_MIR,lr,1,0.7833919892743423
CLN_MIR,lr,0,0.737909090909091
CLN_MTB_MIR,lr,1,0.8055136584548349
CLN_MTB_MIR,lr,0,0.7461818181818182
CLN_MTB_MET,lr,1,0.8034188034188035
CLN_MTB_MET,lr,0,0.7792727272727273
MIR,lr,1,0.6438746438746439
MIR,lr,0,0.6449090909090909
CLN_PRT_MIR,lr,1,0.7769398357633652
CLN_PRT_MIR,lr,0,0.7579999999999999
CLN_MIR_MET,lr,1,0.7811295458354283
CLN_MIR_MET,lr,0,0.7367272727272727
CLN_MTB_MIR_MET,lr,1,0.8065191888721301
CLN_MTB_MIR_MET,lr,0,0.7496363636363638
CLN_MTB_PRT_MIR,lr,1,0.787162728339199
CLN_MTB_PRT_MIR,lr,0,0.7676363636363637
MET,lr,1,0.5153343388637506
MET,lr,0,0.5186363636363636
CLN_MTB_PRT_MIR_MET,lr,1,0.783643371878666
CLN_MTB_PRT_MIR_MET,lr,0,0.766
CLN_MTB_PRT,svc,1,0.7384782973018268
CLN_MTB_PRT,svc,0,0.7993636363636364
PRT,svc,1,0.5903301491536787
PRT,svc,0,0.6619999999999999
CLN_MTB_PRT_MET,svc,1,0.7328640858052622
CLN_MTB_PRT_MET,svc,0,0.8107272727272727
CLN_MTB,svc,1,0.7802916038210157
CLN_MTB,svc,0,0.7935454545454546
CLN_PRT_MET,svc,1,0.7055471761354114
CLN_PRT_MET,svc,0,0.7722727272727272
CLN_MET,svc,1,0.7431707725825373
CLN_MET,svc,0,0.7555454545454545
CLN,svc,1,0.7638679403385287
CLN,svc,0,0.751090909090909
CLN_PRT_MIR_MET,svc,1,0.6988436400201107
CLN_PRT_MIR_MET,svc,0,0.7753636363636364
CLN_PRT,svc,1,0.7118317412435059
CLN_PRT,svc,0,0.7660909090909092
MTB,svc,1,0.7084799731858555
MTB,svc,0,0.7743636363636364
CLN_MTB_MIR,svc,1,0.7678062678062678
CLN_MTB_MIR,svc,0,0.781
CLN_MIR,svc,1,0.746941511647394
CLN_MIR,svc,0,0.7443636363636363
CLN_MTB_MET,svc,1,0.7676386794033854
CLN_MTB_MET,svc,0,0.7947272727272727
MIR,svc,1,0.5562259091670857
MIR,svc,0,0.6512727272727272
