data_type,algo,seed,train.val,auc
CLN_PRT_MIR_MET,lr,2,0,0.7649090909090909
CLN_PRT_MIR_MET,avg,2,0,0.7909090909090909
MET,svc,2,1,0.497481884057971
MET,xgb,2,1,0.5014893892339545
MET,lr,2,1,0.5
MET,avg,2,1,0.4773408385093168
CLN_MET,svc,2,0,0.7570454545454545
CLN_MET,xgb,2,0,0.7311363636363637
CLN_MET,lr,2,0,0.7426363636363637
CLN_MET,avg,2,0,0.7644545454545454
CLN_MTB_MIR_MET,svc,2,1,0.7241291407867495
CLN_MTB_MIR_MET,xgb,2,1,0.7913263457556935
CLN_MTB_MIR_MET,lr,2,1,0.7679037267080746
CLN_MTB_MIR_MET,avg,2,1,0.7632272256728778
CLN_PRT_MIR,svc,4,0,0.7637727272727273
CLN_PRT_MIR,xgb,4,0,0.7642272727272728
CLN_PRT_MIR,lr,4,0,0.7649090909090909
CLN_PRT_MIR,avg,4,0,0.7836363636363637
CLN_PRT_MIR_MET,svc,4,1,0.7107194616977226
CLN_PRT_MIR_MET,xgb,4,1,0.7727769151138716
CLN_PRT_MIR_MET,lr,4,1,0.7713561076604555
CLN_PRT_MIR_MET,avg,4,1,0.7555072463768117
CLN_MTB_MIR_MET,svc,4,0,0.7831363636363636
CLN_MTB_MIR_MET,xgb,4,0,0.7596818181818182
CLN_MTB_MIR_MET,lr,4,0,0.7498181818181818
CLN_MTB_MIR_MET,avg,4,0,0.7895454545454546
PRT,svc,4,1,0.5590734989648034
PRT,xgb,4,1,0.6787163561076606
PRT,lr,4,1,0.68296066252588
PRT,avg,4,1,0.6817132505175982
CLN_MTB_PRT_MET,svc,4,0,0.7955454545454544
CLN_MTB_PRT_MET,xgb,4,0,0.7673181818181819
CLN_MTB_PRT_MET,lr,4,0,0.7657272727272727
CLN_MTB_PRT_MET,avg,4,0,0.8103636363636363
MIR,svc,4,1,0.5417468944099378
MIR,xgb,4,1,0.6075931677018633
MIR,lr,4,1,0.632748447204969
MIR,avg,4,1,0.6277018633540372
CLN_MTB_PRT_MIR_MET,svc,4,0,0.7984545454545455
CLN_MTB_PRT_MIR_MET,xgb,4,0,0.7740909090909092
CLN_MTB_PRT_MIR_MET,lr,4,0,0.7765454545454545
CLN_MTB_PRT_MIR_MET,avg,4,0,0.8011818181818181
CLN_PRT_MET,svc,4,1,0.7202562111801243
CLN_PRT_MET,xgb,4,1,0.7788405797101449
CLN_PRT_MET,lr,4,1,0.7727070393374741
CLN_PRT_MET,avg,4,1,0.7768711180124223
CLN_MTB_MIR,svc,4,0,0.7783636363636364
CLN_MTB_MIR,xgb,4,0,0.7596818181818182
CLN_MTB_MIR,lr,4,0,0.7375454545454546
CLN_MTB_MIR,avg,4,0,0.7716363636363637
CLN_PRT_MIR,svc,4,1,0.7258514492753623
CLN_PRT_MIR,xgb,4,1,0.7760636645962733
CLN_PRT_MIR,lr,4,1,0.7730693581780539
CLN_PRT_MIR,avg,4,1,0.770243271221532
MTB,svc,4,0,0.7650909090909092
MTB,xgb,4,0,0.7037727272727273
MTB,lr,4,0,0.7639090909090909
MTB,avg,4,0,0.7775454545454545
CLN_MIR,svc,4,1,0.7276526915113871
CLN_MIR,xgb,4,1,0.7698421325051761
CLN_MIR,lr,4,1,0.7682091097308489
CLN_MIR,avg,4,1,0.7700388198757764
CLN,svc,4,0,0.7444545454545454
CLN,xgb,4,0,0.7505454545454546
CLN,lr,4,0,0.7447272727272728
CLN,avg,4,0,0.7519090909090909
CLN_MTB_PRT_MIR_MET,svc,4,1,0.712032867494824
CLN_MTB_PRT_MIR_MET,xgb,4,1,0.7978364389233954
CLN_MTB_PRT_MIR_MET,lr,4,1,0.765054347826087
CLN_MTB_PRT_MIR_MET,avg,4,1,0.7568918219461698
CLN_MTB_PRT_MIR,svc,4,0,0.7913636363636363
CLN_MTB_PRT_MIR,xgb,4,0,0.7713636363636364
CLN_MTB_PRT_MIR,lr,4,0,0.7765454545454545
CLN_MTB_PRT_MIR,avg,4,0,0.7970909090909091
MTB,svc,4,1,0.6731055900621119
MTB,xgb,4,1,0.7260791925465838
MTB,lr,4,1,0.7408902691511388
MTB,avg,4,1,0.6985274327122153
PRT,svc,4,0,0.672409090909091
PRT,xgb,4,0,0.5542727272727273
PRT,lr,4,0,0.6656363636363635
PRT,avg,4,0,0.6080000000000001
CLN_MTB_PRT_MIR,svc,4,1,0.7221376811594203
CLN_MTB_PRT_MIR,xgb,4,1,0.7947062629399586
CLN_MTB_PRT_MIR,lr,4,1,0.7676242236024844
CLN_MTB_PRT_MIR,avg,4,1,0.7641770186335404
CLN_MTB,svc,4,0,0.7937272727272726
CLN_MTB,xgb,4,0,0.7641363636363636
CLN_MTB,lr,4,0,0.7525454545454546
CLN_MTB,avg,4,0,0.7933636363636363
CLN_MET,svc,4,1,0.7219513457556935
CLN_MET,xgb,4,1,0.7699223602484472
CLN_MET,lr,4,1,0.7669435817805382
CLN_MET,avg,4,1,0.7661206004140787
CLN_PRT,svc,4,0,0.7622727272727273
CLN_PRT,xgb,4,0,0.7626818181818182
CLN_PRT,lr,4,0,0.7594545454545454
CLN_PRT,avg,4,0,0.784
CLN_PRT,svc,4,1,0.7346247412008282
CLN_PRT,xgb,4,1,0.7887629399585921
CLN_PRT,lr,4,1,0.7758850931677019
CLN_PRT,avg,4,1,0.7858152173913043
CLN_MIR,svc,4,0,0.7446363636363637
CLN_MIR,xgb,4,0,0.7595454545454545
CLN_MIR,lr,4,0,0.7336363636363636
CLN_MIR,avg,4,0,0.7561818181818181
CLN_MTB_PRT,svc,4,1,0.7397541407867495
CLN_MTB_PRT,xgb,4,1,0.7974133022774327
CLN_MTB_PRT,lr,4,1,0.7628131469979298
CLN_MTB_PRT,avg,4,1,0.7716330227743271
MIR,svc,4,0,0.6283181818181819
MIR,xgb,4,0,0.625090909090909
MIR,lr,4,0,0.6433636363636364
MIR,avg,4,0,0.6529090909090909
CLN_MTB,svc,4,1,0.753452380952381
CLN_MTB,xgb,4,1,0.7846829710144927
CLN_MTB,lr,4,1,0.7587396480331263
CLN_MTB,avg,4,1,0.7707194616977225
CLN_MIR_MET,svc,4,0,0.7457272727272727
CLN_MIR_MET,xgb,4,0,0.7309545454545455
CLN_MIR_MET,lr,4,0,0.7336363636363636
