feature_name,svc_1,svc_2,svc_3,svc_4,svc_5,svc_6,svc_7,svc_8,svc_9,svc_10,svc_mean,svc_std,svc_rank,xgb_1,xgb_2,xgb_3,xgb_4,xgb_5,xgb_6,xgb_7,xgb_8,xgb_9,xgb_10,xgb_mean,xgb_std,xgb_rank,lr_1,lr_2,lr_3,lr_4,lr_5,lr_6,lr_7,lr_8,lr_9,lr_10,lr_mean,lr_std,lr_rank,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8,avg_9,avg_10,avg_mean,avg_std,avg_rank
FGG,0.0284603758289566,0.0374326045981939,0.032834890990914,0.0284603758289566,0.0434332733363579,0.0483122504925339,0.0178259431511861,0.032834890990914,0.032834890990914,0.0284603758289566,0.03308898720378837,0.0080934872027171,22,0.0,0.0,0.0,0.0,0.0,0.0,0.053412493,0.0,0.0,0.053412493,0.0106824986,0.0213649972,82,0.0186743154912048,0.0367908622437934,0.0971146143142199,0.0367908622437934,0.0121151682454075,0.0384227467361327,0.0838069466880554,0.0971146143142199,0.0367908622437934,0.0627660095244455,0.05203870020450659,0.029627566830918627,13,0.0157115637733871,0.0247411556139957,0.0433165017683779,0.0217504126909166,0.0185161471939217,0.0289116657428888,0.0463685737924353,0.0433165017683779,0.0232085844115691,0.0432009513351107,0.030904205809098077,0.011259374310603393,21
MP0052,0.0277750183984011,0.0390500886938847,0.0309157002555299,0.0277750183984011,0.044250281284594,0.045849587919939,0.0162381320958303,0.0309157002555299,0.0309157002555299,0.0277750183984011,0.0321460245956041,0.008347969825699167,25,0.0,0.0,0.0,0.0,0.0,0.0,0.172022,0.0,0.0,0.172022,0.0344044,0.0688088,23,0.0,0.0166997539309961,0.0486153571695731,0.0166997539309961,0.0,0.0120766644774567,0.0490473206625369,0.0486153571695731,0.0166997539309961,0.0353031426787067,0.024375710395083478,0.018492149818060317,25,0.0092583394661336,0.0185832808749602,0.0265103524750343,0.014824924109799,0.0147500937615313,0.0193087507991319,0.0704647421148457,0.0265103524750343,0.0158718180621753,0.0699814979018788,0.028606415204052438,0.021396632639137235,22
MP0128,0.0248421927310741,0.0358251697764724,0.0288735999956634,0.0248421927310741,0.043111630862445,0.0494182981436914,0.0174831039461744,0.0288735999956634,0.0288735999956634,0.0248421927310741,0.03069855809089957,0.00904613663799725,27,0.0,0.0,0.0,0.0,0.0,0.0,0.17956321,0.0,0.0,0.17956321,0.035912642,0.071825284,18,0.0,0.0100575655089806,0.04732861556658,0.0100575655089806,0.0,0.0031974510542579,0.0407128145369488,0.04732861556658,0.0100575655089806,0.0237044599057782,0.01924446531570867,0.01819237065946716,30,0.008280730910358,0.0152942450951509,0.0254007385207478,0.0116332527466848,0.014370543620815,0.017538583065983,0.0786130893451944,0.0254007385207478,0.0129770551682146,0.0755027778282605,0.02850117548221568,0.024835957118591254,23
exRNA000067,0.0134256529675891,0.0223239414803505,0.0164842950155783,0.0134256529675891,0.0299023062865566,0.039671661501075,0.0112475796204769,0.0164842950155783,0.0164842950155783,0.0134256529675891,0.019287533283796118,0.008536428267213571,98,0.0,0.0,0.0,0.0,0.0,0.0,0.248876,0.0,0.0,0.248876,0.0497752,0.09955039999999998,13,0.0,0.0020483186699498,0.0283925075779234,0.0020483186699498,0.0,0.0,0.0094297552047887,0.0283925075779234,0.0020483186699498,0.021205873376388,0.00935655997468729,0.011349066060801254,39,0.004475217655863,0.0081240867167667,0.0149589341978338,0.0051579905458463,0.0099674354288522,0.013223887167025,0.0894304557610339,0.0149589341978338,0.006177537895176,0.0937979732690669,0.02602724528352976,0.03300643395005232,24
MP0009,0.0211370711538594,0.0252963115247757,0.0233676891449838,0.0211370711538594,0.0221281818206318,0.0196634367616543,0.015496812789116,0.0233676891449838,0.0233676891449838,0.0211370711538594,0.02160990237927074,0.0025486657244436985,71,0.0,0.0,0.0,0.0,0.0,0.0,0.27197987,0.0,0.0,0.27197987,0.054395974,0.108791948,10,0.0,1.753444680335586e-05,0.0,1.753444680335586e-05,0.0,0.0,0.0,0.0,1.753444680335586e-05,0.0,5.260334041006758e-06,8.03529297455547e-06,81,0.0070456903846198,0.008437948657193,0.0077892297149946,0.0070515352002209,0.0073760606068772,0.0065544789205514,0.0955539225080641,0.0077892297149946,0.0077950745305957,0.0973351418701777,0.0252728312108289,0.03559151823779269,25
exRNA000145,0.0072585312480364,0.0110091378577146,0.009036446318391,0.0072585312480364,0.0116822169107877,0.0118441565262506,0.0047892595131608,0.009036446318391,0.009036446318391,0.0072585312480364,0.008820970350719588,0.002140843137002179,210,0.0,0.0,0.0,0.0,0.0,0.0,0.32612613,0.0,0.0,0.32612613,0.065225226,0.130450452,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352,0.0024195104160121,0.0036697126192381,0.003012148772797,0.0024195104160121,0.0038940723035959,0.0039480521754168,0.1102967707184326,0.003012148772797,0.003012148772797,0.1111155538630637,0.024679962883016233,0.04301648887336962,26
MP0141,0.0241242409406347,0.0345861824746926,0.0283121843280712,0.0241242409406347,0.0433831407336154,0.0536690633297539,0.013737507945613,0.0283121843280712,0.0283121843280712,0.0241242409406347,0.030268517028979258,0.010659425487162436,29,0.0,0.0,0.0,0.0,0.0,0.0,0.04574711,0.0,0.0,0.04574711,0.009149422,0.018298844,102,0.0048628456956385,0.0251045659231881,0.0798039222215387,0.0251045659231881,0.0,0.0236606199222729,0.0709325501108204,0.0798039222215387,0.0251045659231881,0.0475992089286047,0.03819767668699782,0.028138955579112345,17,0.009662362212091,0.0198969161326268,0.0360387021832033,0.0164096022879409,0.0144610469112051,0.0257765610840089,0.0371739481543792,0.0360387021832033,0.0178055834170864,0.033136057138724,0.02463994817044689,0.009774055954539914,27
MP0113,0.0179075966314139,0.0339862185947558,0.0230774826185615,0.0179075966314139,0.0429415396819497,0.0570172727886198,0.0101660257534393,0.0230774826185615,0.0230774826185615,0.0179075966314139,0.02670662945686908,0.013344183955580393,38,0.0,0.0,0.0,0.0,0.0,0.0,0.1557591,0.0,0.0,0.1557591,0.031151820000000004,0.06230364000000001,29,0.0,0.0,0.0491184312656045,0.0,0.0,0.0,0.0358981998522127,0.0491184312656045,0.0,0.0204474718823392,0.01545825342657609,0.020352995968637565,33,0.0059691988771379,0.0113287395315852,0.0240653046280553,0.0059691988771379,0.0143138465606499,0.0190057575962066,0.0653998851536952,0.0240653046280553,0.0076924942061871,0.0631133714558281,0.024092310151453848,0.02106943004949484,28
HDLC,0.0224619517109914,0.0298737884607168,0.0290593682341234,0.0224619517109914,0.0300738029978511,0.0340288019245411,0.0135703513393455,0.0290593682341234,0.0290593682341234,0.0224619517109914,0.02621107045577989,0.005619136817727764,42,0.0,0.0,0.0,0.0,0.0,0.0,0.07606502,0.0,0.0,0.07606502,0.015213003999999999,0.030426008,57,0.0,0.0123462179318019,0.084174734597035,0.0123462179318019,0.0,0.0011835963616544,0.073287122483931,0.084174734597035,0.0123462179318019,0.0360348602050779,0.03158937020401391,0.033645342105676865,21,0.0074873172369971,0.0140733354641729,0.0377447009437194,0.0116027232142644,0.0100246009992836,0.0117374660953985,0.0478481065154618,0.0377447009437194,0.0138018620553084,0.0396817727764136,0.023174658624473907,0.014697806880814332,29
USO1,0.0243415013820957,0.0306901263843819,0.0283960606717305,0.0243415013820957,0.032681371648595,0.0353240826637363,0.0157569787187462,0.0283960606717305,0.0283960606717305,0.0243415013820957,0.0272665245576938,0.005176198834750534,35,0.0,0.0,0.0,0.0,0.0,0.0,0.092833236,0.0,0.0,0.092833236,0.0185666472,0.0371332944,48,0.0033160863397428,0.019089613091137,0.0358580803718098,0.019089613091137,0.0,0.0135409776738207,0.0277495456206843,0.0358580803718098,0.019089613091137,0.0338874812905841,0.020747909094186247,0.012136060717357058,28,0.0092191959072794,0.0165932464918396,0.0214180470145134,0.0144770381577442,0.0108937905495316,0.0162883534458523,0.0418662981135293,0.0214180470145134,0.0158285579209558,0.045594425818202,0.021359700043396098,0.011794823493055513,30
