HBA1C	FPG	PBG	FINS	HOMA.B	HOMA.IR	TG	TC	LDLC	HDLC	FFA	ALT	AST	TBIL	BUN	EGFR	SCR	UCR	UMA	UMACRR	CKMB	HSCRP	HB	PLT	HCT	RBC	WBC	BMI	WACC	WEIGHT	DBP	SBP	Age	Sex	Dose	exRNA000003	exRNA000004	exRNA000005	exRNA000008	exRNA000009	exRNA000015	exRNA000016	exRNA000017	exRNA000027	exRNA000028	exRNA000029	exRNA000035	exRNA000036	exRNA000040	exRNA000042	exRNA000043	exRNA000044	exRNA000047	exRNA000050	exRNA000053	exRNA000056	exRNA000058	exRNA000059	exRNA000060	exRNA000061	exRNA000066	exRNA000067	exRNA000077	exRNA000084	exRNA000089	exRNA000091	exRNA000097	exRNA000098	exRNA000110	exRNA000130	exRNA000139	exRNA000145	exRNA000161	exRNA000164	exRNA000165	exRNA000172	exRNA000173	exRNA000183	exRNA000211	exRNA000226	exRNA000250	exRNA000251	exRNA000290	exRNA000311	exRNA000312	exRNA000317	exRNA000326	exRNA000344	exRNA000348	exRNA000394	exRNA000408	exRNA000561	exRNA000565	exRNA000673	exRNA000760	exRNA000822	exRNA000841
-0.0	0.09524958221564264	1.1365393376762944	-0.0	-0.12592322861894548	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.15209304292768247	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.06182614447476374	-0.0	-0.0	-0.0	0.0	-0.008525867366597472	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.017718014357560753	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.08222652699540621	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.11272067294311172	-0.0	-0.0	0.0
0.0	-0.12707745244003432	0.14911533491043796	0.0	-0.15789391629710195	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.3469280058454499	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.21149837504681746	-0.0	0.0	-0.0	0.0	0.3107276784920841	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0156262349277941	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.1399084653655914	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.09944100848612303	-0.0	-0.0	0.0
-0.0	-0.1797338553847999	-1.1960709876981201	-0.0	-0.25670442079689876	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.5217112038295973	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.041793092075119616	0.0	0.0	-0.0	0.0	-0.09239565129261389	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.009859932735945875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045458043599043235	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.23383532907342808	0.0	-0.0	-0.0
-0.0	0.14205527372210092	0.9648134241517978	-0.0	0.22470035712611128	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.08308899356097313	0.0	-0.0	-0.0	0.0	0.0	0.0	0.05330634058066221	-0.0	0.0	0.0	0.0	-0.013774503394403349	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.004509902403702249	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.009196804709828194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.003097458285064077	0.0	-0.0	0.0
0.0	0.03089175639426245	-0.10847353537630704	-0.0	-0.19364136103613958	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.034380252831531184	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.004259901947050763	-0.0	-0.0	-0.0	-0.0	-0.029802290054454842	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.014050310896155264	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.02314269791365191	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.23383532907342808	0.0	0.0	-0.0
0.0	-0.15633100963157076	-0.079852549788891	-0.0	-0.19996523332412655	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.1401594014489692	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.07333939298030634	-0.0	0.0	-0.0	0.0	-0.06487721576954888	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.019680474386102625	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.07672307619408185	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.12895451436503194	-0.0	0.0	0.0
0.0	-0.02176464655050307	0.03463139256077362	-0.0	-0.12065333504562298	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.11174596935679465	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.02728639895813595	0.0	0.0	-0.0	0.0	0.26755353927435443	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.01337830187114134	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.12497434538582647	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.052192223231386344	-0.0	-0.0	0.0
-0.0	0.1128017165305645	1.3655072223756235	-0.0	-0.2539816424506821	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.07497087010606597	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.05330634058066221	-0.0	-0.0	0.0	-0.0	-0.06383632300652069	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01085518837165587	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0688732444454614	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.23383532907342808	-0.0	-0.0	-0.0
0.0	-0.051018203742039504	0.03463139256077362	-0.0	-0.3079102200176823	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.08714805528842653	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.08485264148584892	-0.0	0.0	-0.0	-0.0	0.01193466811022713	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.001473518699940502	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.034290677258771954	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.058320567019534156	-0.0	0.0	-0.0
-0.0	-0.11537602956341976	0.07756287094189766	-0.0	-0.24941440135380263	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.03462379653517816	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.15393213251910448	0.0	-0.0	-0.0	-0.0	-0.08174011357839758	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.004176108623868119	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0028707926193045226	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.23152772027719914	0.0	0.0	-0.0
-0.0	-0.06857033805696142	-0.20864698493226339	-0.0	-0.1710686502304082	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.03868285826263192	0.0	0.0	0.0	0.0	0.0	0.0	0.0763328375917474	-0.0	-0.0	-0.0	0.0	-0.06330884043493248	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0021474601156828716	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.06725841346937599	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.21086531235787412	-0.0	-0.0	-0.0
