exRNA000003	exRNA000004	exRNA000005	exRNA000008	exRNA000009	exRNA000015	exRNA000016	exRNA000017	exRNA000027	exRNA000028	exRNA000029	exRNA000035	exRNA000036	exRNA000040	exRNA000042	exRNA000043	exRNA000044	exRNA000047	exRNA000050	exRNA000053	exRNA000056	exRNA000058	exRNA000059	exRNA000060	exRNA000061	exRNA000066	exRNA000067	exRNA000077	exRNA000084	exRNA000089	exRNA000091	exRNA000097	exRNA000098	exRNA000110	exRNA000130	exRNA000139	exRNA000145	exRNA000161	exRNA000164	exRNA000165	exRNA000172	exRNA000173	exRNA000183	exRNA000211	exRNA000226	exRNA000250	exRNA000251	exRNA000290	exRNA000311	exRNA000312	exRNA000317	exRNA000326	exRNA000344	exRNA000348	exRNA000394	exRNA000408	exRNA000561	exRNA000565	exRNA000673	exRNA000760	exRNA000822	exRNA000841
-0.086337864	0.0044377088	-0.042910546	0.0	0.0	0.0	0.0	0.049029022	0.0	0.0	-0.005924225	0.0	0.045262948	-0.011480654	0.0	0.0	0.0	-0.055536613	0.0	0.0	0.0	0.037103683	0.0154341385	0.0	0.0	0.031746715	-0.032658424	0.0	0.0053186207	0.0	0.02871164	0.0	-0.08272591	0.009311875	-0.023697678	0.0	-0.054738007	0.0090424735	0.0	0.023319308	0.0	0.0	0.0	-0.12125617	0.0	0.0	0.0	-0.00907073	0.0	0.0	0.0	0.0	0.0	0.0	0.081593476	-0.0046716793	0.0	-0.016690657	0.0	0.0	0.0	0.0
-0.12733494	0.007616068	-0.042597257	0.0	0.0	0.0	0.0	-0.004765082	0.0	0.0	-0.008016103	0.0	-0.31177837	-0.012747437	0.0	0.0	0.0	0.13955884	0.0	0.0	0.0	0.058473226	-0.004351456	0.0	0.0	-0.058887906	-0.018979719	0.0	0.0053186207	0.0	0.03594145	0.0	-0.15456836	-0.00666373	0.023702884	0.0	-0.16352037	0.037268605	0.0	0.014577902	0.0	0.0	0.0	0.05766996	0.0	0.0	0.0	0.12455982	0.0	0.0	0.0	0.0	0.0	0.0	0.03097859	0.015218372	0.0	0.0426229	0.0	0.0	0.0	0.0
-0.04319775	0.030106723	-0.024496872	0.0	0.0	0.0	0.0	-0.16157821	0.0	0.0	-0.008016103	0.0	0.09905018	0.07612136	0.0	0.0	0.0	-0.055536613	0.0	0.0	0.0	0.17063832	-0.004351456	0.0	0.0	-0.013602804	0.011865271	0.0	0.0053186207	0.0	0.06585357	0.0	-0.017548654	-0.00666373	0.14433199	0.0	0.20507763	0.026795324	0.0	0.014577902	0.0	0.0	0.0	0.18110426	0.0	0.0	0.0	-0.021257969	0.0	0.0	0.0	0.0	0.0	0.0	-0.028204424	-0.0046716793	0.0	-0.016690657	0.0	0.0	0.0	0.0
-0.23242255	0.007616068	-0.03300107	0.0	0.0	0.0	0.0	0.08837328	0.0	0.0	-0.052693002	0.0	0.07615703	-0.011480654	0.0	0.0	0.0	-0.055139333	0.0	0.0	0.0	-0.012210435	-0.029712431	0.0	0.0	-0.008411998	-0.032658424	0.0	-0.023012636	0.0	-0.28125286	0.0	-0.15456836	-0.0039482703	-0.018057128	0.0	-0.1551416	0.0105941035	0.0	-0.025460698	0.0	0.0	0.0	0.060404316	0.0	0.0	0.0	-0.016926667	0.0	0.0	0.0	0.0	0.0	0.0	0.081593476	-0.023406083	0.0	0.0426229	0.0	0.0	0.0	0.0
-0.1409088	0.007616068	0.2733972	0.0	0.0	0.0	0.0	0.08837328	0.0	0.0	0.14856426	0.0	0.051028542	-0.011480654	0.0	0.0	0.0	-0.055139333	0.0	0.0	0.0	-0.012210435	-0.009431276	0.0	0.0	-0.008411998	-0.032658424	0.0	-0.023012636	0.0	-0.14298671	0.0	0.14018206	-0.0039482703	-0.0032666298	0.0	-0.09610197	0.0105941035	0.0	-0.025460698	0.0	0.0	0.0	0.052426875	0.0	0.0	0.0	-0.016926667	0.0	0.0	0.0	0.0	0.0	0.0	0.081593476	-0.023406083	0.0	0.14107022	0.0	0.0	0.0	0.0
0.20199615	0.0044377088	-0.052506737	0.0	0.0	0.0	0.0	-0.061387375	0.0	0.0	-0.008016103	0.0	-0.24223119	-0.012747437	0.0	0.0	0.0	0.13955884	0.0	0.0	0.0	0.058473226	-0.004351456	0.0	0.0	-0.058887906	-0.018979719	0.0	0.019265456	0.0	0.031246327	0.0	-0.046843987	0.009311875	-0.060306072	0.0	-0.11349041	0.019515753	0.0	0.092760935	0.0	0.0	0.0	-0.076695405	0.0	0.0	0.0	0.06230694	0.0	0.0	0.0	0.0	0.0	0.0	0.03097859	0.015218372	0.0	0.022413075	0.0	0.0	0.0	0.0
-0.14166951	0.007616068	-0.03300107	0.0	0.0	0.0	0.0	-0.17047338	0.0	0.0	-0.052693002	0.0	0.07615703	-0.024535403	0.0	0.0	0.0	0.24728993	0.0	0.0	0.0	-0.056155294	-0.029712431	0.0	0.0	-0.008411998	0.00459621	0.0	0.0053186207	0.0	-0.28125286	0.0	0.14018206	0.005517301	0.00088208355	0.0	-0.13733916	0.008653419	0.0	0.023319308	0.0	0.0	0.0	0.060404316	0.0	0.0	0.0	-0.080421105	0.0	0.0	0.0	0.0	0.0	0.0	0.03097859	-0.007982627	0.0	0.14107022	0.0	0.0	0.0	0.0
-0.037128128	0.007616068	-0.03300107	0.0	0.0	0.0	0.0	-0.044625815	0.0	0.0	-0.005924225	0.0	0.09389566	-0.012747437	0.0	0.0	0.0	-0.052703317	0.0	0.0	0.0	-0.01924293	0.0154341385	0.0	0.0	-0.013602804	-0.018979719	0.0	0.0029493694	0.0	0.025428452	0.0	-0.08272591	0.009311875	0.023702884	0.0	-0.1551416	0.0090424735	0.0	-0.038441703	0.0	0.0	0.0	-0.05174286	0.0	0.0	0.0	0.23571368	0.0	0.0	0.0	0.0	0.0	0.0	0.03097859	0.025218017	0.0	-0.016690657	0.0	0.0	0.0	0.0
-0.24130937	0.007616068	-0.03300107	0.0	0.0	0.0	0.0	-0.21216345	0.0	0.0	-0.052693002	0.0	0.07615703	-0.012747437	0.0	0.0	0.0	-0.08132379	0.0	0.0	0.0	-0.056155294	-0.029712431	0.0	0.0	-0.008411998	-0.018979719	0.0	-0.023012636	0.0	-0.28125286	0.0	-0.08272591	0.005517301	-0.013908415	0.0	-0.1551416	0.005861316	0.0	-0.025460698	0.0	0.0	0.0	0.060404316	0.0	0.0	0.0	-0.080421105	0.0	0.0	0.0	0.0	0.0	0.0	0.03097859	-0.023406083	0.0	-0.016690657	0.0	0.0	0.0	0.0
-0.26426947	0.007616068	-0.03300107	0.0	0.0	0.0	0.0	-0.0055637714	0.0	0.0	-0.005924225	0.0	0.12694485	-0.012747437	0.0	0.0	0.0	-0.08132379	0.0	0.0	0.0	0.058473226	0.0154341385	0.0	0.0	-0.013602804	-0.018979719	0.0	-0.041498862	0.0	0.04397611	0.0	-0.15456836	-0.0039482703	0.023702884	0.0	-0.13733916	0.0105941035	0.0	0.0154448375	0.0	0.0	0.0	0.115705565	0.0	0.0	0.0	0.12455982	0.0	0.0	0.0	0.0	0.0	0.0	0.03097859	-0.023406083	0.0	0.0426229	0.0	0.0	0.0	0.0
